Family Name,Style Name,Width,Height,Aspect Ratio,x-height,Density,Slant,Curve,Serif,
ABeeZee,Italic,0.246842,0.321895,0.666313,0.270000,0.361045,0.180858,0.261793,0.061000,
ABeeZee,Regular,0.222526,0.320526,0.696343,0.270000,0.402209,0.171278,0.276288,0.025000,
Abel,Regular,0.179368,0.326000,0.748536,0.250000,0.349634,0.156158,0.269381,0.026000,
Abhaya Libre,Bold,0.223895,0.272000,0.663534,0.210000,0.372222,0.216165,0.392252,0.055000,
Abhaya Libre,ExtraBold,0.229579,0.273474,0.663451,0.210000,0.400697,0.222805,0.388258,0.062000,
Abhaya Libre,Medium,0.217158,0.262737,0.668007,0.210000,0.328110,0.231288,0.381822,0.059000,
Abhaya Libre,Regular,0.214947,0.263474,0.674853,0.210000,0.310558,0.224943,0.390042,0.059000,
Abhaya Libre,SemiBold,0.220842,0.272947,0.666663,0.220000,0.353013,0.218524,0.379182,0.062000,
Abril Fatface,Regular,0.253474,0.325474,0.687195,0.240000,0.448710,0.188096,0.342662,0.058000,
Abyssinica SIL,Regular,0.236632,0.305053,0.676796,0.250000,0.396858,0.178239,0.306597,0.070000,
Aclonica,Regular,0.266105,0.336632,0.660464,0.290000,0.497310,0.160908,0.264312,0.036000,
Acme,Regular,0.208000,0.318316,0.693025,0.270000,0.474972,0.170322,0.296559,0.037000,
Actor,Regular,0.210947,0.322105,0.710489,0.250000,0.408525,0.156845,0.238273,0.028000,
Adamina,Regular,0.264947,0.366947,0.702695,0.290000,0.344221,0.147643,0.248952,0.070000,
Adobe Blank,Regular,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,
Advent Pro,Bold,0.189368,0.317895,0.706985,0.260000,0.511727,0.175449,0.334417,0.032000,
Advent Pro,ExtraLight,0.177263,0.314526,0.771688,0.260000,0.209144,0.291782,0.454258,0.031000,
Advent Pro,Light,0.178632,0.314842,0.750774,0.260000,0.269654,0.239850,0.371809,0.030000,
Advent Pro,Medium,0.182316,0.316421,0.731299,0.260000,0.381788,0.155143,0.267661,0.034000,
Advent Pro,Regular,0.180105,0.315579,0.742647,0.260000,0.326483,0.173935,0.291255,0.032000,
Advent Pro,SemiBold,0.186842,0.316947,0.716754,0.260000,0.447647,0.165416,0.272647,0.034000,
Advent Pro,Thin,0.176316,0.313895,0.805969,0.260000,0.144116,0.248210,0.406358,0.020000,
Aguafina Script,Regular,0.288947,0.349368,0.650094,0.260000,0.226719,0.257854,0.299568,0.085000,
Akronim,Regular,0.213053,0.333368,0.680670,0.250000,0.278034,0.278714,0.267520,0.102000,
Aksara Bali Galang,Regular,0.032526,0.052947,0.631804,0.000000,0.052294,0.036087,0.061105,0.000000,
Aladin,Regular,0.199053,0.320526,0.710301,0.250000,0.439213,0.189867,0.311197,0.073000,
Aldrich,Regular,0.236737,0.320632,0.692472,0.260000,0.473359,0.118104,0.277185,0.023000,
Alef,Bold,0.230526,0.306526,0.680553,0.270000,0.497038,0.173020,0.320314,0.025000,
Alef,Regular,0.210105,0.304737,0.701367,0.270000,0.406537,0.159089,0.270249,0.023000,
Alegreya,Black Italic,0.258737,0.308421,0.643990,0.250000,0.541025,0.188184,0.307733,0.108000,
Alegreya,Black,0.248737,0.307684,0.653979,0.260000,0.580267,0.173144,0.308131,0.082000,
Alegreya,Bold Italic,0.236947,0.305263,0.654849,0.250000,0.435840,0.184195,0.300406,0.108000,
Alegreya,Bold,0.229684,0.304211,0.668753,0.250000,0.471757,0.184689,0.315587,0.079000,
Alegreya,Italic,0.217579,0.300842,0.670033,0.240000,0.299282,0.240469,0.362119,0.099000,
Alegreya,Regular,0.214526,0.299368,0.686968,0.250000,0.331774,0.208332,0.333631,0.086000,
Alegreya Sans,Black Italic,0.243895,0.298000,0.646090,0.240000,0.558665,0.178607,0.316188,0.061000,
Alegreya Sans,Black,0.231053,0.298526,0.658081,0.240000,0.613530,0.155893,0.296467,0.027000,
Alegreya Sans,Bold Italic,0.219158,0.298947,0.663463,0.260000,0.450454,0.182050,0.315540,0.058000,
Alegreya Sans,Bold,0.209579,0.296632,0.682334,0.250000,0.506623,0.172814,0.323194,0.028000,
Alegreya Sans,ExtraBold Italic,0.228526,0.297053,0.653897,0.260000,0.495955,0.181637,0.328395,0.058000,
Alegreya Sans,ExtraBold,0.217053,0.296211,0.670894,0.250000,0.550393,0.163981,0.315869,0.025000,
Alegreya Sans,Italic,0.198211,0.286316,0.681871,0.250000,0.318703,0.208449,0.313318,0.049000,
Alegreya Sans,Light Italic,0.189789,0.285895,0.695745,0.250000,0.233438,0.327957,0.464766,0.041000,
Alegreya Sans,Light,0.181684,0.284000,0.738675,0.250000,0.277521,0.259642,0.409545,0.025000,
Alegreya Sans,Medium Italic,0.207684,0.298316,0.674488,0.260000,0.373580,0.166007,0.256042,0.063000,
Alegreya Sans,Medium,0.199474,0.296211,0.698760,0.250000,0.427838,0.155891,0.282621,0.026000,
Alegreya Sans,Regular,0.191474,0.285263,0.709236,0.240000,0.365917,0.169346,0.303687,0.029000,
Alegreya Sans SC,Black Italic,0.250105,0.291053,0.640234,0.260000,0.569104,0.171751,0.309888,0.061000,
Alegreya Sans SC,Black,0.235579,0.291368,0.651030,0.260000,0.616061,0.153313,0.305724,0.027000,
